node   1  (   0,    0) (   4,    3) (   5,    5) (   3,    3) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10)
          (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1)
          (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10)
          (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1)
          (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10)
          (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1)
          (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10)
          (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1)
          (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10)
          (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1)
          (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10)
          (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1)
          (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10)
          (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1)
          (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10)
          (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1)
          (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10)
          (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1)
          (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10)
          (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1)
          (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10)
          (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1)
          (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10)
          (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1)
          (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10)
          (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1)
          (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10)
          (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1)
          (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10)
          (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1)
          (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10)
          (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1)
          (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10)
          (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1)
          (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10)
          (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1)
          (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10)
          (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1)
          (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10)
          (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1)
          (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10)
          (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1)
          (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10)
          (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1)
          (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10)
          (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1)
          (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10)
          (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1)
          (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10) (   1,    1) (   1,    1) (  10,    1) (   1,   10)
